agent_step,episode_reward
0,28.03333333333333
50000,961.9
100000,973.4333333333334
150000,976.7666666666667
200000,976.3666666666667
250000,978.7
300000,981.8333333333334
350000,979.3666666666667
400000,980.2333333333333
450000,976.0666666666666
500000,979.7333333333333
550000,984.1
600000,978.7666666666667
650000,982.1333333333333
700000,983.5
750000,981.9333333333333
800000,982.1666666666667
850000,983.5333333333333
900000,984.4666666666667
950000,985.2666666666667
1000000,984.0
1050000,984.1
1100000,984.3666666666667
1150000,985.9666666666667
1200000,985.8
1250000,985.6
1300000,985.5333333333333
1350000,985.4
1400000,985.7
1450000,985.4
1500000,984.3333333333334
1550000,984.3333333333334
1600000,986.0333333333333
1650000,978.3666666666667
1700000,986.2666666666667
1750000,982.8
1800000,982.9333333333333
1850000,983.5
1900000,984.1666666666666
1950000,986.6
2000000,981.1333333333333
