step,episode_reward
0,26.588180541992188
25000,81.31025695800781
50000,149.65159606933594
75000,141.42739868164062
100000,110.8405990600586
125000,170.5750732421875
150000,226.4270477294922
175000,235.36978149414062
200000,257.647705078125
225000,230.5464324951172
250000,245.54751586914062
275000,282.46514892578125
300000,307.4569091796875
325000,298.8365783691406
350000,329.2293701171875
375000,320.8371887207031
400000,266.2398681640625
425000,298.35003662109375
450000,319.7817687988281
475000,365.09429931640625
500000,314.08819580078125
