step,episode_reward
0,29.923070907592773
25000,238.79208374023438
50000,659.7371215820312
75000,919.6954345703125
100000,952.2625732421875
125000,952.9767456054688
150000,967.2487182617188
175000,961.5672607421875
200000,964.1683349609375
225000,973.3310546875
250000,974.2408447265625
275000,977.0838012695312
300000,968.0296630859375
325000,977.4070434570312
350000,968.48388671875
375000,979.3972778320312
400000,975.7468872070312
425000,971.3035888671875
450000,970.4851684570312
475000,979.3018798828125
500000,973.7649536132812
