step,episode_reward
0,23.584930419921875
25000,175.24111938476562
50000,501.8373107910156
75000,862.4578857421875
100000,935.1222534179688
125000,964.7799072265625
150000,968.2340087890625
175000,969.3538818359375
200000,971.1077880859375
225000,977.1141357421875
250000,975.2891845703125
275000,976.1334838867188
300000,972.0489501953125
325000,983.5198974609375
350000,973.1056518554688
375000,980.7654418945312
400000,975.7053833007812
425000,970.6398315429688
450000,971.5447998046875
475000,982.9154052734375
500000,968.6022338867188
