step,episode_reward
0,27.19645118713379
25000,106.0465087890625
50000,112.00045013427734
75000,115.76542663574219
100000,119.57194519042969
125000,163.78662109375
150000,186.21383666992188
175000,198.93157958984375
200000,205.01077270507812
225000,220.259033203125
250000,244.40762329101562
275000,259.9229431152344
300000,244.5629425048828
325000,246.7657470703125
350000,213.3163299560547
375000,226.87255859375
400000,247.01486206054688
425000,240.8539276123047
450000,268.3066101074219
475000,271.72381591796875
500000,303.6695556640625
