step,episode_reward
0.0,20.634031295776367
25000.0,335.5240173339844
50000.0,532.6788330078125
75000.0,732.8572387695312
100000.0,855.3576049804688
125000.0,927.6227416992188
150000.0,928.6917724609375
175000.0,897.1519775390625
200000.0,935.9808349609375
225000.0,960.02294921875
250000.0,949.2559814453125
275000.0,963.0720825195312
300000.0,962.6637573242188
325000.0,953.6571044921875
350000.0,956.15380859375
375000.0,970.3262939453125
400000.0,963.7431640625
425000.0,971.6906127929688
450000.0,951.6837158203125
475000.0,962.1925048828125
500000.0,928.4732666015625
