step,episode_reward
0.0,5.157654762268066
25000.0,194.10150146484375
50000.0,196.6973876953125
75000.0,348.750244140625
100000.0,394.43731689453125
125000.0,402.77880859375
150000.0,407.41009521484375
175000.0,461.9369201660156
200000.0,465.95550537109375
225000.0,437.94793701171875
250000.0,465.9541015625
275000.0,479.55389404296875
300000.0,480.2686462402344
325000.0,478.3191833496094
350000.0,493.24072265625
375000.0,486.5191345214844
400000.0,479.290283203125
425000.0,469.185302734375
450000.0,476.99835205078125
475000.0,452.63348388671875
500000.0,418.7151794433594
