step,episode_reward
0.0,20.6420841217041
25000.0,190.84629821777344
50000.0,265.5433654785156
75000.0,312.0660095214844
100000.0,471.70843505859375
125000.0,506.55328369140625
150000.0,582.760498046875
175000.0,652.8152465820312
200000.0,588.6483154296875
225000.0,710.6651611328125
250000.0,743.9716796875
275000.0,804.8426513671875
300000.0,859.08642578125
325000.0,854.1451416015625
350000.0,870.1316528320312
375000.0,898.1472778320312
400000.0,858.126953125
425000.0,898.7965698242188
450000.0,896.1849365234375
475000.0,909.0689697265625
500000.0,933.1090698242188
