step,episode_reward
0.0,5.157654762268066
25000.0,219.53909301757812
50000.0,332.9830627441406
75000.0,414.5836486816406
100000.0,391.0038146972656
125000.0,503.30859375
150000.0,511.24273681640625
175000.0,523.2551879882812
200000.0,531.9984741210938
225000.0,576.4428100585938
250000.0,606.7213745117188
275000.0,579.989501953125
300000.0,615.665771484375
325000.0,629.1593017578125
350000.0,640.7158813476562
375000.0,591.4436645507812
400000.0,638.777587890625
425000.0,639.938720703125
450000.0,660.412109375
475000.0,649.5697631835938
500000.0,647.7561645507812
