step,episode_reward
0.0,3.9456353187561035
25000.0,53.249656677246094
50000.0,89.5152359008789
75000.0,148.28890991210938
100000.0,137.04537963867188
125000.0,163.13748168945312
150000.0,199.22549438476562
175000.0,180.93931579589844
200000.0,204.21731567382812
225000.0,241.10208129882812
250000.0,249.7474822998047
275000.0,223.81167602539062
300000.0,248.37350463867188
325000.0,289.71832275390625
350000.0,293.67059326171875
375000.0,310.99847412109375
400000.0,347.57275390625
425000.0,360.5553283691406
450000.0,394.15277099609375
475000.0,352.85858154296875
500000.0,358.9749755859375
