step,episode_reward
0,1.184239807525896
25000,29.61384194606388
50000,131.74511670499223
75000,185.03464197742574
100000,256.5788575970525
125000,343.17302260608767
150000,418.0024080468729
175000,402.22674636357624
200000,447.8062207170786
225000,462.29076778465895
250000,466.53025071326203
275000,488.844436783508
300000,483.04992748067934
325000,553.863454343426
350000,565.8943223357643
375000,586.208431465848
400000,564.050529538563
425000,605.9850226303134
450000,619.9215538853298
475000,625.4838226693455
