step,episode_reward
0,0.2406346796785232
25000,94.8744925930387
50000,335.0446116643109
75000,441.99109365493524
100000,425.5475333547608
125000,485.3454467396342
150000,578.8351621942539
175000,612.8791825687763
200000,558.3083638716945
225000,590.4051861440837
250000,618.9252447360533
275000,668.9387949037884
300000,556.5226840517951
325000,646.8630426015043
350000,678.9267414617672
375000,651.1940765902983
400000,691.8426303280472
425000,684.3655889035169
450000,686.1199380629844
475000,706.8878293170069
