step,episode_reward
0,20.3974698517174
25000,29.757681394697272
50000,28.59011365374321
75000,28.838852514216473
100000,27.225167525169713
125000,28.93299960654565
150000,27.922714709374258
175000,28.636810508477964
200000,26.704165139102447
225000,29.81483816400859
250000,27.045502486592873
275000,28.742631623419364
300000,26.35211217787251
325000,28.308372251616184
350000,26.88819796891719
375000,27.436145525184788
400000,26.92835531150513
425000,27.90383799584273
450000,27.674336266565568
475000,27.645034518245417
