step,episode_reward
0,19.692037037974227
25000,29.20820442721908
50000,27.82953662650059
75000,29.6652815797516
100000,28.529028642232504
125000,27.21839207343215
150000,30.20223782731071
175000,27.50892269236394
200000,27.78214309662501
225000,27.21850284556006
250000,27.59679025060034
275000,28.118822464875326
300000,27.721544896767966
325000,26.53025909787433
350000,27.52303766217414
375000,28.006187344115993
400000,25.3277505230409
425000,26.36547531053722
450000,26.756625640461767
475000,27.57881598109451
