step,episode_reward
0,1.6591907041013834
25000,228.43919263278076
50000,248.06864771620286
75000,306.6581650780968
100000,220.11907572134618
125000,221.10516039037157
150000,311.5878098140155
175000,332.2238826571918
200000,324.56359447730694
225000,395.53118671919844
250000,439.22882749794815
275000,392.357930277219
300000,475.24940522117004
325000,495.98473275660444
350000,452.1809832696005
375000,572.1758981248342
400000,545.1134825614039
425000,599.3962102878224
450000,608.0626024140877
475000,621.4841668136439
